,Time,FormattertTime
0,0.25411200523376465,00:00:00
1,0.4070241451263428,00:00:00
2,0.7884039878845215,00:00:00
3,1.02665114402771,00:00:01
4,1.3515980243682861,00:00:01
5,1.6085669994354248,00:00:01
6,3.3683011531829834,00:00:03
7,5.099455118179321,00:00:05
8,6.813822984695435,00:00:06
9,8.563692092895508,00:00:08
10,10.345341920852661,00:00:10
11,12.130189180374146,00:00:12
12,13.895345211029053,00:00:13
13,15.66350793838501,00:00:15
14,17.433096885681152,00:00:17
15,19.272625207901,00:00:19
16,21.066033124923706,00:00:21
17,22.866197109222412,00:00:22
18,24.763180017471313,00:00:24
19,26.565627098083496,00:00:26
20,28.355483055114746,00:00:28
21,30.184191942214966,00:00:30
22,32.02629804611206,00:00:32
23,33.84009504318237,00:00:33
24,35.58999800682068,00:00:35
25,37.417640924453735,00:00:37
26,39.2407648563385,00:00:39
27,41.00114893913269,00:00:41
28,42.74461317062378,00:00:42
29,44.495803117752075,00:00:44
30,46.24617600440979,00:00:46
31,48.11777114868164,00:00:48
32,49.94640612602234,00:00:49
33,51.71771001815796,00:00:51
34,53.515018939971924,00:00:53
35,55.39108204841614,00:00:55
36,57.277080059051514,00:00:57
37,59.29391598701477,00:00:59
38,61.25919318199158,00:01:01
39,63.03240513801575,00:01:03
40,64.74556398391724,00:01:04
41,64.86040186882019,00:01:04
42,64.98216605186462,00:01:04
43,66.70442700386047,00:01:06
44,68.45003604888916,00:01:08
