,Rewards
0,-110.68189450379317
1,-114.0596143405276
2,-116.50557039942406
3,-99.30547290960389
4,-110.7631159014708
5,-106.36466180999453
6,-72.54681358810903
7,-78.01720635935939
8,-78.02311656113369
9,-78.01130548284044
10,-77.64466496620605
11,-77.91008578118213
12,-77.64566406058115
13,-77.99032493627907
14,-77.99226169056845
15,-77.63265603619284
16,-77.62866716732549
17,-77.99750802574334
18,-77.65066855518735
19,-77.64856468941984
20,-77.6168522114707
21,-77.6098811784135
22,-77.90940315518493
23,-78.0158630745482
24,-77.61119519059203
25,-77.90980460100462
26,-77.91021693351955
27,-78.03539698184433
28,-77.98817485665558
29,-77.99368196975716
30,-77.62182107957358
31,-77.98776147779975
32,-78.00051087018377
33,-77.61443960202514
34,-77.61046561910739
35,-77.99842296674193
36,-78.0168722127716
37,-77.98845019650922
38,-77.59901800310827
39,-77.64961240442126
40,-77.59623026119823
41,-123.17309539151813
42,-123.16509058621216
43,-78.02944202606221
44,-78.00513889727459
